primary_key,ipni,country,dateRange,foaf_givenName,foaf_familyName
http://www.tropicos.org/Person/2,23703-1,Germany,1818–1899,Carl,Müller
http://www.tropicos.org/Person/960,1005-1,Netherlands,1810-1862,Roelof Benjamin,van den Bosch
http://www.tropicos.org/Person/10766,8882-1,Netherlands,1815-1887,Cornelius Marinus,van der Sande Lacoste
http://www.tropicos.org/Person/2011,24547-1,France,1827-1911,Jean Édouard Gabriel Narcisse,Paris
